Intervalo,Nombre_Estacion,Demanda_Real,Demanda_Predicha
1:00,Minuto de Dios,0.0,1.0737147
1:00,Portal Américas,0.0,-0.16815901
1:00,Las Aguas - Centro Colombo Americano,0.0,-0.24756765
1:00,Portal Suba,0.0,-0.5665755
1:00,Suba - AV. Boyacá,0.0,0.06398535
1:00,Santa Lucía,0.0,1.3016844
1:00,San Martín,0.0,1.105154
1:00,Universidades – CityU,0.0,-0.47056532
1:00,Santa Isabel,0.0,0.5529642
1:00,Suba - Calle 95,0.0,2.2279406
1:00,Puente Aranda,0.0,-0.21271896
1:00,Quiroga,0.0,0.77004766
1:00,Puentelargo,0.0,1.5289869
1:00,San Victorino,0.0,-0.204
1:00,CC Paseo Villa del Río - Madelena,0.0,-0.048133373
1:00,San Mateo - CC Unisur,0.0,0.3392701
1:00,Sevillana,0.0,1.7564154
1:00,Rionegro,0.0,-0.48031092
1:00,Suba - Calle 116,0.0,0.7372937
1:00,San Bernardo,0.0,0.81445885
1:00,SENA,0.0,1.0190029
1:00,San Facon Carrera 22,0.0,0.26373577
1:00,Socorro,0.0,1.5379128
1:00,21 Ángeles,0.0,0.6954341
1:00,Temporal Calle 34,0.0,0.89334106
1:00,Venecia,0.0,0.847219
1:00,Danubio,0.0,3.293675
1:00,Portal Sur - JFK Coop. Financiera,0.0,-0.47296667
1:00,Temporal Calle 22,0.0,-0.2619195
1:15,AV. Chile,0.0,0.39454937
1:15,CAN,0.0,0.8549514
1:15,Campín - UAN,28.0,38.342182
1:15,San Diego,0.0,1.6642828
1:15,Granja - Kr 77,0.0,2.0367632
1:15,Ricaurte - NQS,0.0,1.5179253
1:15,Quirigua,0.0,2.154675
1:15,Suba - Calle 100,0.0,0.4766674
1:15,Calle 75 - Zona M,0.0,2.1204977
1:15,AV. Boyacá,0.0,1.6556878
1:15,Calle 40 Sur,0.0,1.5645943
1:15,AV. Américas - AV. Boyacá,0.0,2.1269822
1:15,Marsella,0.0,0.8397827
1:15,Niza - Calle 127,0.0,2.1445765
1:15,La Campiña,0.0,1.340735
1:15,Transversal 86,0.0,0.74790907
1:15,Corferias,0.0,38.264744
1:15,Guatoque - Veraguas,0.0,0.62414885
1:15,CDS - Carrera 32,0.0,1.5887003
1:15,Ciudad Universitaria - Lotería de Bogotá,0.0,0.52047586
1:15,Universidad Nacional,0.0,0.48222446
1:15,Avenida Rojas - UNISALESIANA,0.0,26.967064
1:15,Tercer Milenio,0.0,0.45468616
1:15,Concejo de Bogotá,0.0,0.56818485
1:15,NQS - Calle 38A S,0.0,1.8601322
1:15,7 de Agosto,0.0,2.1251802
1:15,AV. 68,0.0,2.0473342
1:15,Distrito Grafiti,0.0,2.1561174
1:15,Polo - FINCOMERCIO,0.0,1.7956309
1:15,Tygua - San José,0.0,1.8223729
1:15,Quinta Paredes,0.0,1.8180933
1:15,Salitre - El Greco,0.0,42.115017
1:15,Zona Industrial,0.0,1.8259559
1:15,León XIII,0.0,1.9992309
1:15,Paloquemao,0.0,0.8720803
1:15,Carrera 90,0.0,0.086013794
1:15,Gobernación,0.0,0.54014874
1:15,Terreros - Hospital Cardio Vascular,0.0,0.52629805
1:15,Escuela Militar,0.0,2.2052755
1:15,Mandalay,0.0,1.003439
1:15,AV. Cali,0.0,1.9014792
1:15,Suba - TV. 91,0.0,2.1464977
1:15,Ricaurte - CL 13,0.0,1.0241194
1:15,Restrepo,0.0,0.80314255
1:15,Prado,0.0,1.0242543
1:15,Terminal,0.0,2.1653042
1:15,Virrey,0.0,2.125526
1:15,Toberin - Foundever,0.0,1.2605147
1:15,Pepe Sierra,0.0,0.7289572
1:15,Calle 100 - Marketmedios,0.0,0.6169224
1:15,Calle 142,0.0,2.1660185
1:15,Portal Norte – Unicervantes,0.0,0.23565817
1:15,Calle 187,0.0,1.1239495
1:15,Alcalá – Colegio S. Tomás Dominicos,0.0,0.5342169
1:15,Calle 146,0.0,1.5959058
1:15,Calle 127,0.0,0.6937127
1:15,Héroes,0.0,1.6562667
1:15,Calle 161,0.0,0.70437
1:15,Calle 106 - Maletas Explora,0.0,0.71243143
1:15,Mazurén,0.0,0.54466486
1:15,Calle 45 - American School Way,0.0,0.7613411
1:15,Carrera 53,0.0,0.7445884
1:15,La Castellana,0.0,1.8317814
1:15,AV. 1 Mayo,0.0,0.6855755
1:15,De La Sabana,0.0,0.019626617
1:15,La Despensa,0.0,0.006298065
1:15,Calle 72,0.0,-0.13729382
1:15,Centro Memoria,0.0,-0.12864351
1:15,Carrera 43 - Comapan,0.0,38.043804
1:15,Consuelo,0.0,0.7227173
1:15,AV. Jiménez - Caracas,0.0,0.58896685
1:15,Comuneros,0.0,0.013676167
1:15,El Tiempo – Cámara de Comercio de Bogotá,0.0,38.082176
1:15,Biblioteca Tintal,0.0,-0.5053592
1:15,Ciudad Jardín - UAN,0.0,0.53016615
1:15,Bicentenario,0.0,0.6610122
1:15,Temporal Calle 57,0.0,0.8807459
1:15,Biblioteca,0.0,0.69984865
1:15,AV. ElDorado,0.0,38.078243
1:15,Calle 26,0.0,38.010986
1:15,Alquería,0.0,0.5573387
1:15,Bosa,0.0,1.1254058
1:15,CAD,0.0,38.2994
1:15,Banderas,0.0,38.21303
1:15,Calle 19,0.0,38.164864
1:15,AV. Jiménez - CL 13,0.0,38.416348
1:15,Movistar Arena,1.0,29.788105
1:15,AV. 39,0.0,38.288578
1:15,Calle 76 - San Felipe,0.0,0.7492008
1:15,Calle 63,0.0,38.268723
1:15,Calle 85,0.0,38.16368
1:15,NQS - Calle 30 S,0.0,38.266243
1:15,Country Sur,0.0,0.47260284
1:15,Carrera 47,0.0,37.940437
1:15,Portal 80,0.0,0.9527931
